accuracy,batch_loss
0.29625,2699.9365344047546
0.39075,2049.874056905508
0.448375,1812.8358199000359
0.567375,1634.3752769827843
0.563625,1485.0072561055422
0.556125,1346.7161339446902
0.56,1214.3411733806133
0.587625,1082.3415116434917
0.5485,977.8356549432501
0.59425,847.9735393461306
0.61125,723.2596143842675
0.59225,604.7165208953666
0.624375,482.65334393491503
0.6025,436.1837912793417
0.58225,335.3940982818258
0.601,342.63221982267714
0.606625,240.30685447621772
0.608,222.98046819262134
0.64075,161.7459213862528
0.589625,159.5467464449547
0.65825,114.53331382864803
0.607625,114.52440115125547
0.605,134.8856895321436
0.66525,87.10410275457718
0.2011173184357542,3641.232802629471
0.2657621707901037,3252.880192399025
0.3056664006384677,2932.7968765497208
0.3280127693535515,2694.460142016411
0.3407821229050279,2471.088548243046
0.43415802075019955,2294.25682348758
0.43335993615323226,2077.973459828645
0.46608140462889064,1916.4000778608024
0.5147645650438947,1697.8644721265882
0.538707102952913,1530.5390797383734
0.5363128491620112,1372.3695102054626
0.5107741420590582,1174.6408517679665
0.5602553870710295,986.5850328676752
0.5546687948922586,850.3871581626008
0.5235434956105347,667.982483688771
0.515562649640862,580.4936931538978
0.5171588188347965,551.2116890373029
0.5195530726256983,543.1027431601915
0.5610534716679968,449.35998806323414
0.5570630486831604,343.27004100044724
0.5626496408619314,348.7049248111898
0.48922585794094176,353.46144726412047
0.5418994413407822,349.7483924991334
0.5458898643256185,233.5460610411961
0.581803671189146,219.8530462845061
